ID,ParroquiaShapeName,SectorShapeName,Sector,
9999,OLMEDO,PARROQUIA OLMEDO,Chile,
1173,FEBRES CORDERO,BATALLON DEL SUBURBIO,24 de agosto,
1168,TARQUI,BASTION POPULAR,BLOQUE 1B,
1167,TARQUI,BASTION POPULAR,BLOQUE 1A,
1166,TARQUI,BASTION POPULAR,CERRO COLORADO,
1165,TARQUI,MONTEBELLO,Montebello,
1164,TARQUI,CIUDADELA EL CARACOL,Ciudadela Caracol,
1163,TARQUI,COLINAS DEL SOL,Colinas del Sol,
1161,TARQUI,BASTION POPULAR,BLOQUE 10C,
1158,TARQUI,BASTION POPULAR,BLOQUE  7A,
1157,TARQUI,PASCUALES,BARRIO LAS VEGAS,
1156,TARQUI,PASCUALES,PIE DE LUCHA,
1155,TARQUI,PASCUALES,UNION BELEN,
1154,TARQUI,PASCUALES,VILCABAMBA,
1153,TARQUI,PASCUALES,PASCUALES,
1152,TARQUI,MUCHO LOTE,MUCHO LOTE,
1151,TARQUI,MUCHO LOTE,PROGRAMA PLAN MUCHO LOTE ETAPA IV,
1150,TARQUI,MUCHO LOTE,PROGRAMA PLAN MUCHO LOTE ETAPA VI,
1149,TARQUI,ORQUIDEAS,JARDIN BOTANICO,
1148,TARQUI,ORQUIDEAS OESTE,ORQUIDEAS OESTE,
1147,TARQUI,ORQUIDEAS,ORQUIDEAS  III  ETAPA,
1146,TARQUI,ORQUIDEAS,ORQUIDEAS II   PRIMERA   ETAPA,
1145,TARQUI,VERGELES,URB. LOS  GERANIOS,
1144,TARQUI,VERGELES,CDLA.VALLE DE LOS GERANIOS,
1143,TARQUI,VERGELES,LOS VERGELES,
1142,TARQUI,HUANCAVILCA,CIUDAD DEL NORTE,
1141,TARQUI,HUANCAVILCA,CDLA.ESTRELLA  DEL MAR,
1140,TARQUI,PROSPERINA,Los Comanos,
1139,TARQUI,PROSPERINA,Precooperativa María Eugenia Córdovez,
1138,TARQUI,MAPASINGUE,Cooperativa El Prado,
1137,TARQUI,PROSPERINA,Precooperativa Gallegos Lara,
1136,TARQUI,PROSPERINA,Anexo Santa Cecilia,
1135,TARQUI,LA FLORIDA,Bello Horizonte,
1134,TARQUI,LA FLORIDA,Precooperativa Patria Nueva,
1133,TARQUI,LA FLORIDA,Isaías,
1132,TARQUI,INDUSTRIAL INMACONSA,Colinas del Sol,
1131,TARQUI,LA FLORIDA,Urbanización La Florida,
1130,TARQUI,LA FLORIDA,Hogar de Nazareth,
1129,TARQUI,LA FLORIDA,Precooperativa Colinas de la Florida,
1128,TARQUI,LA FLORIDA,Precooperativa Unidad Nacional,
1127,TARQUI,LA FLORIDA,Precooperativa Simón Bolívar,
1126,TARQUI,INDUSTRIAL INMACONSA,Urbanización Industrial Inmaconsa,
1125,TARQUI,LOTIZACION EXPOGRAMOS,Lotización Expogramos,
1124,TARQUI,PARQUE INDUSTRIAL EL SAUCE,Parque Industrial El Sauce,
1123,TARQUI,MAPASINGUE,Urbaización BEV,
1122,TARQUI,MAPASINGUE,Mapasingue Oeste,
1121,TARQUI,MAPASINGUE,Colinas del Valle,
